,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
9,0.00189,https://api.spotify.com/v1/audio-analysis/5n4FL8FgHZQaJ2GuwMN9F8,0.554,252140,0.749,5n4FL8FgHZQaJ2GuwMN9F8,0.39,10,0.124,-7.365,1,0.0266,168.045,4,https://api.spotify.com/v1/tracks/5n4FL8FgHZQaJ2GuwMN9F8,audio_features,spotify:track:5n4FL8FgHZQaJ2GuwMN9F8,0.823
10,0.0341,https://api.spotify.com/v1/audio-analysis/1JP2mMwQF6uYmGN4k6ggRf,0.47,216773,0.695,1JP2mMwQF6uYmGN4k6ggRf,0.0,9,0.19,-3.83,0,0.0359,173.941,4,https://api.spotify.com/v1/tracks/1JP2mMwQF6uYmGN4k6ggRf,audio_features,spotify:track:1JP2mMwQF6uYmGN4k6ggRf,0.696
11,0.0448,https://api.spotify.com/v1/audio-analysis/5u3mk3AEJFMHBrVbu8woXA,0.692,191467,0.729,5u3mk3AEJFMHBrVbu8woXA,0.137,7,0.107,-3.993,0,0.0315,119.979,4,https://api.spotify.com/v1/tracks/5u3mk3AEJFMHBrVbu8woXA,audio_features,spotify:track:5u3mk3AEJFMHBrVbu8woXA,0.452
12,0.000182,https://api.spotify.com/v1/audio-analysis/7gxakgZXtvTcBjaxOAZ08G,0.526,273947,0.856,7gxakgZXtvTcBjaxOAZ08G,0.402,11,0.361,-2.43,1,0.0291,175.964,4,https://api.spotify.com/v1/tracks/7gxakgZXtvTcBjaxOAZ08G,audio_features,spotify:track:7gxakgZXtvTcBjaxOAZ08G,0.52
13,0.00957,https://api.spotify.com/v1/audio-analysis/1AYgCKvnLnILwyCG68qNAV,0.352,171773,0.847,1AYgCKvnLnILwyCG68qNAV,0.197,0,0.293,-2.537,1,0.0501,178.07,4,https://api.spotify.com/v1/tracks/1AYgCKvnLnILwyCG68qNAV,audio_features,spotify:track:1AYgCKvnLnILwyCG68qNAV,0.219
14,0.000763,https://api.spotify.com/v1/audio-analysis/5xGSJpiaTlId1EjPxaWS4t,0.456,198893,0.773,5xGSJpiaTlId1EjPxaWS4t,0.0414,8,0.238,-1.55,1,0.0382,122.038,4,https://api.spotify.com/v1/tracks/5xGSJpiaTlId1EjPxaWS4t,audio_features,spotify:track:5xGSJpiaTlId1EjPxaWS4t,0.404
15,0.0657,https://api.spotify.com/v1/audio-analysis/7JXqsXZsjbpvploNrlQkIQ,0.662,193307,0.749,7JXqsXZsjbpvploNrlQkIQ,0.00237,2,0.0955,-4.469,0,0.0313,123.008,4,https://api.spotify.com/v1/tracks/7JXqsXZsjbpvploNrlQkIQ,audio_features,spotify:track:7JXqsXZsjbpvploNrlQkIQ,0.566
16,0.0442,https://api.spotify.com/v1/audio-analysis/05GVRl33w5KgIGbgNHWR8x,0.365,177253,0.866,05GVRl33w5KgIGbgNHWR8x,0.0897,11,0.336,-3.072,0,0.043,169.988,4,https://api.spotify.com/v1/tracks/05GVRl33w5KgIGbgNHWR8x,audio_features,spotify:track:05GVRl33w5KgIGbgNHWR8x,0.588
17,0.238,https://api.spotify.com/v1/audio-analysis/3iu4ETEkyEQQcKRb82psoM,0.449,183720,0.592,3iu4ETEkyEQQcKRb82psoM,5.66e-06,2,0.274,-2.184,0,0.0327,186.01,3,https://api.spotify.com/v1/tracks/3iu4ETEkyEQQcKRb82psoM,audio_features,spotify:track:3iu4ETEkyEQQcKRb82psoM,0.404
18,0.294,https://api.spotify.com/v1/audio-analysis/524YxLdXyQ87QbBH6cbRJ0,0.608,134280,0.555,524YxLdXyQ87QbBH6cbRJ0,0.00021,7,0.114,-4.316,1,0.0238,100.011,4,https://api.spotify.com/v1/tracks/524YxLdXyQ87QbBH6cbRJ0,audio_features,spotify:track:524YxLdXyQ87QbBH6cbRJ0,0.192
19,0.436,https://api.spotify.com/v1/audio-analysis/4GUaG3df9nbrj77GKEB76j,0.509,175593,0.467,4GUaG3df9nbrj77GKEB76j,9.98e-06,8,0.0971,-4.94,1,0.0331,175.159,3,https://api.spotify.com/v1/tracks/4GUaG3df9nbrj77GKEB76j,audio_features,spotify:track:4GUaG3df9nbrj77GKEB76j,0.538
